Product_name,Product_price,Rate,Emotion,Review,Summary,Overall_Sentiment
AMD Ryzen 9 7950X,13730,3.0,"['joy', 'sadness', 'anger', 'sadness', 'sadness', 'joy', 'joy', 'joy', 'joy', 'sadness']","['Battery life could be better.', 'The screen is too dim.', 'The app is very glitchy.', 'It does not meet my expectations.', 'The performance is underwhelming.', 'Works like a charm.', 'The quality is top-notch.', 'Fast and reliable.', 'Limited features for the price.', 'The performance is underwhelming.']",Battery life could be better. I wouldn't recommend this product.,joy
ASUS ROG Zephyrus G14,11390,3.0,"['joy', 'anger', 'fear', 'anger', 'anger', 'joy', 'anger', 'joy', 'sadness', 'joy']","['Great value for the price.', 'The app is very glitchy.', 'Lightweight and portable.', 'Very difficult to set up.', 'Customer service was unhelpful.', 'Sturdy and well-built.', 'Very difficult to set up.', 'Fast and reliable.', 'Poor build quality.', 'This product exceeded my expectations.']","Great value for the price. Overall, it's a great choice.",joy
Amazon Echo Dot (5th Gen),10570,3.2,"['joy', 'anger', 'joy', 'joy', 'sadness', 'sadness', 'joy', 'joy', 'joy', 'anger']","['Very user-friendly.', 'Customer service was unhelpful.', 'This product exceeded my expectations.', ""Best purchase I've made this year."", 'The screen is too dim.', 'It does not meet my expectations.', ""Best purchase I've made this year."", 'This product is a game changer.', ""Best purchase I've made this year."", 'The app is very glitchy.']","Very user-friendly. Overall, it's a great choice.",joy
Anker PowerCore 26800,11120,2.8,"['fear', 'fear', 'fear', 'joy', 'anger', 'joy', 'joy', 'joy', 'joy', 'anger']","['Too bulky for everyday use.', 'Too bulky for everyday use.', 'Too bulky for everyday use.', ""Best purchase I've made this year."", 'The app is very glitchy.', 'Sound quality is outstanding!', 'Battery life could be better.', 'Absolutely love this!', 'Battery life could be better.', 'Very difficult to set up.']",Too bulky for everyday use. I wouldn't recommend this product.,joy
Apple AirPods Pro,12440,2.6,"['joy', 'love', 'sadness', 'sadness', 'sadness', 'joy', 'joy', 'joy', 'anger', 'anger']","['Sound quality is outstanding!', 'It gets hot after a short time.', 'It broke after a month of use.', 'The screen is too dim.', 'The sound quality is disappointing.', 'Absolutely love this!', 'Not worth the price.', 'This product exceeded my expectations.', 'Customer service was unhelpful.', 'Very difficult to set up.']","Sound quality is outstanding! Overall, it's a great choice.",joy
Apple MacBook Air M2,14540,3.4,"['anger', 'fear', 'joy', 'joy', 'sadness', 'joy', 'joy', 'joy', 'joy', 'anger']","['The app is very glitchy.', 'Too bulky for everyday use.', 'Perfect for my needs!', 'Fantastic performance!', 'The performance is underwhelming.', 'Battery life could be better.', 'Fast and reliable.', 'Limited features for the price.', 'Great value for the price.', 'Customer service was unhelpful.']",The app is very glitchy. I wouldn't recommend this product.,joy
Apple Watch Series 8,14610,3.2,"['joy', 'joy', 'joy', 'joy', 'anger', 'joy', 'love', 'joy', 'joy', 'sadness']","['Great value for the price.', 'Absolutely love this!', 'Sound quality is outstanding!', 'Intuitive interface.', 'I had some issues with the setup.', 'Limited features for the price.', 'It gets hot after a short time.', 'The quality is top-notch.', 'Battery life could be better.', 'Poor build quality.']","Great value for the price. Overall, it's a great choice.",joy
Apple iPad Pro,10940,3.2,"['joy', 'joy', 'joy', 'joy', 'sadness', 'sadness', 'fear', 'anger', 'joy', 'joy']","['Perfect for my needs!', 'Great value for the price.', 'Fantastic performance!', 'The quality is top-notch.', 'It broke after a month of use.', 'The sound quality is disappointing.', 'Too bulky for everyday use.', 'Customer service was unhelpful.', ""Best purchase I've made this year."", 'Battery life could be better.']","Perfect for my needs! Overall, it's a great choice.",joy
Apple iPhone 14,14640,3.0,"['fear', 'love', 'joy', 'joy', 'joy', 'fear', 'anger', 'fear', 'joy', 'fear']","['Too bulky for everyday use.', 'It gets hot after a short time.', 'Battery life could be better.', ""Best purchase I've made this year."", 'Works like a charm.', 'Too bulky for everyday use.', 'Very difficult to set up.', 'Lightweight and portable.', 'This product exceeded my expectations.', 'Too bulky for everyday use.']",Too bulky for everyday use. I wouldn't recommend this product.,fear
Belkin BoostCharge Pro,13260,2.3,"['sadness', 'joy', 'sadness', 'sadness', 'sadness', 'joy', 'joy', 'sadness', 'anger', 'anger']","['The sound quality is disappointing.', 'Sturdy and well-built.', 'The screen is too dim.', 'It does not meet my expectations.', 'The screen is too dim.', 'Perfect for my needs!', 'Battery life could be better.', 'The performance is underwhelming.', 'Very difficult to set up.', 'Very difficult to set up.']",The sound quality is disappointing. I wouldn't recommend this product.,sadness
